regiao,ano,IN049
Centro-Oeste,2003,36
Nordeste,2003,49
Norte,2003,51
Sudeste,2003,42
Sul,2003,41
Centro-Oeste,2007,37
Nordeste,2007,50
Norte,2007,52
Sudeste,2007,42
Sul,2007,37
Centro-Oeste,2005,39
Nordeste,2005,49
Norte,2005,55
Sudeste,2005,42
Sul,2005,42
Centro-Oeste,2015,35
Nordeste,2015,45
Norte,2015,46
Sudeste,2015,33
Sul,2015,32
Centro-Oeste,2009,35
Nordeste,2009,49
Norte,2009,52
Sudeste,2009,41
Sul,2009,34
Centro-Oeste,2017,35
Nordeste,2017,46
Norte,2017,54
Sudeste,2017,35
Sul,2017,33
Centro-Oeste,2013,33
Nordeste,2013,48
Norte,2013,50
Sudeste,2013,34
Sul,2013,34
Centro-Oeste,2008,36
Nordeste,2008,50
Norte,2008,53
Sudeste,2008,38
Sul,2008,35
Centro-Oeste,2004,38
Nordeste,2004,50
Norte,2004,58
Sudeste,2004,42
Sul,2004,43
Centro-Oeste,2010,33
Nordeste,2010,50
Norte,2010,51
Sudeste,2010,35
Sul,2010,34
Centro-Oeste,2006,38
Nordeste,2006,47
Norte,2006,49
Sudeste,2006,43
Sul,2006,41
Centro-Oeste,2014,34
Nordeste,2014,46
Norte,2014,48
Sudeste,2014,33
Sul,2014,32
Centro-Oeste,2011,33
Nordeste,2011,51
Norte,2011,49
Sudeste,2011,35
Sul,2011,32
Centro-Oeste,2016,34
Nordeste,2016,46
Norte,2016,47
Sudeste,2016,35
Sul,2016,34
Centro-Oeste,2012,32
Nordeste,2012,45
Norte,2012,49
Sudeste,2012,34
Sul,2012,33
